我的账户	101000
为什么我能看到理财产品信息却不能关注	您好，互联网用户可以查看理财产品信息，但是只有登录后才可以加入到关注列表中。
定期理财产品进行转存操作后，收益是如何计算的	您好，定期理财产品的转存分为本息转存，本金转存，具体以转存金额为准。
定期理财产品续存的定义	对于零整产品，每个月需要存入一定金额，这种称为续存。
定期理财产品可以通过什么渠道购买	您好，定期理财产品 的购买可以登录个人网银直接购买，也可以通过手机号快捷支付购买。
活期自动理财功能能够做什么	您好，活期自动理财功能，能够实现活期自动理财的签约，及相关理财明细等查询功能
使用活期自动理财功能需要什么条件	您好，互联网用户可以查看我行活期理财产品信息，大众版和专业版用户才可使用活期自动理财功能。
购买理财产品需要什么条件	您好，大众版和专业版网银用户均可购买理财产品。您需要到柜面做风险评估和签约，才能购买理财产品。
理财产品都有哪些期限	您好 ，理财产品按期限分类可分为1个月、1-3个月、3-6个月、6-12个月以及12个月以上几个类型。
理财产品的起投金额是多少	您好，我行理财产品的起投金额一般为5万元，以1万的整数倍递增，您可以直接查阅理财产品超市了解详细内容。
理财产品有哪些类型	您好，我行目前发行的理财产品分为非保本浮动收益和保证收益类型。
风险等级评估有什么作用	您好，进行风险评估后会根据您的答案进行评估等级分类，方便您选择与您风险等级匹配的合适产品。
我做了风险评估以后还可以重新测么	您好，在您的风险等级后面有重新评估选项，点击即可进行风险评估。
如何购买理财	您好，理财产品，支持用户名+登录密码购买，支持账号+交易密码购买。请登录个人网银后，在【理财首页】，选择相关的理财产品，进行购买。
风险评估的有效期为多长时间	您好，一般理财风险评估有效期为一年。
理财产品的投资收益率如何计算	您好，客户期末参考收益=投资本金*预期年化收益率*实际存续天数/365。
理财产品未到期可以提前赎回吗	您好，我行目前发行的理财产品均为封闭式产品，不可提前赎回。
何时会发行较高收益的专享理财产品	您好，在相关法定节假日我行会适时推出专享高收益理财，您可随时关注我行的相关宣传信息。
理财产品可以通过什么渠道购买	您好，理财产品的购买可以登录个人网银直接购买，也可以通过手机银行或我行营业网点进行购买。
如何签约快捷支付	您好，登录网上银行，进入到签约模块，选择快捷支付签约中，选择相应的类型进行签约。
开通快捷支付的支付渠道有哪些	您好，网上银行开通快捷支付的支付渠道：如支付宝快捷支付，京东快捷支付，苏宁易购快捷支付等
什么账户可以开通快捷支付	您好，网上银行签约快捷支付的账号为：此客户在网银下挂的所有柜签账号，且卡的状态为正常。
如何修改快捷支付限额	您好，网上银行签约快捷支付录入页面的支付日累计限额，日累计限额为系统根据当前客户的风险等级返回的银行默认限额，签约时仅允许客户调低限额，不允许用户调高限额。修改流程如下：登录网上银行，进入签约模块，点击快捷支付，查看签约情况，点击修改限额进入相应流程。
网上银行签约快捷支付需要验证什么	您好，网上银行的快捷支付新增和签约确认提交时均需要验证客户的认证方式。
签约快捷支付的认证方式有哪些	您好，网上银行签约快捷支付的认证方式为; 一代U-key：U-key+PIN码 ，二代U-key：U-key+PIN码，令牌：令牌挑战码+挑战码。
如何解约快捷支付	您好，登录网上银行，进入签约模块，点击快捷支付，查看签约情况，选择相应的账号进行解约。
解约快捷支付时需要验证什么	您好，网上银行解约快捷支付时只需验证账号密码，不验证认证方式。
解约快捷支付后再签约还需要风险评估吗	您好，网上银行解约快捷支付后，如果再次签约，不需重新做风险评估。
修改快捷支付限额的业务规则	您好，网上银行修改快捷支付限额业务的规则：1.网上银行可以修改快捷支付的日累计限额。2.网上银行可以修改快捷支付限额为临时限额,临时限额可高于默认限额，只是当天有效3.网上银行修改快捷支付限额时，需要验证用户认证方式
修改快捷支付限额的认证方式	您好，网上银行修改快捷支付限额的用户认证方式: 一代U-key：U-key+PIN码；二代U-key：U-key+PIN码；令牌：令牌挑战码+开机密码。
如何修改快捷支付的风险评估	您好，登录网上银行，进入签约模块，点击快捷支付，进入右上角的重新评估功能。
快捷支付修改风险评估的业务规则	您好，网上银行快捷支付风险评估修改的业务规则:1.风险评估完成后，可对限额进行修改。2.当用户做完风评后，不管用户是否签约，风险评估结果都有效。
如何查询快捷支付交易记录	您好，登录网上银行，进入签约模块，点击快捷支付，进入右上角的交易记录查询功能。
查询快捷支付交易记录的业务规则	您好，网上银行查询快捷支付交易记录的业务规则：1.查询时间不超过三个月。2.查询内容区分：支付渠道和支付账号。3.默认查询结果为最近一个月交易记录。
网上银行可以签约自助设备的哪些功能	您好，网上银行可以在网银端做自助设备转账签约，解约，限额修改的功能
网上银行如何签约自助设备的转账功能	您好，登录网上银行，进入签约模块，进入银联转账签约模块，可以进行自助设备转账签约。
网上银行如何解约自助设备的转账功能	您好，登录网上银行，进入签约模块，进入银联转账签约模块，查看签约情况，可以进行自助设备转账解约。
网上银行如何修改自助设备的转账限额	您好，登录网上银行，进入签约模块，进入银联转账签约模块，查看签约情况，可以修改自助设备的转账限额。
网上银行签约自助设备转账的业务规则	您好，网上银行签约自助设备转账的业务规则:柜面签约的银行卡，可以进行自助设备的转账签约。
网上银行解约自助设备转账的业务规则	您好，网上银行解约自助设备转账的业务规则:1.只有签约后的账号才有解约功能。2.解约操作只需要验证用户身份信息。3.用户信息验证需要验证签约账号交易密码和认证方式。
网上银行修改自助设备转账限额的业务规则	您好，网上银行修改自助设备转账限额的业务规则：1.只有签约后的账号才有修改限额功能。2.修改限额时，额度默认显示之前签约时设置的限额额度。3.用户信息验证需要验证签约账号交易密码和认证方式。
什么是交易密码	您好，济宁银行网上银行交易密码即您的银行卡取款密码。
网上银行登录密码忘记了怎么办	网上银行提供“找回密码”功能，如您遗忘网银登录密码，可以在我行个人网上银行登录界面点击“找回密码”链接（位置在用户名输入框后方），按照页面提示输入相应信息后，便可重新设定网银登录密码。同时，您也可持有效身份证件到我行营业网点办理登录密码重置业务。
